,subject,body,department
0,Could you kindly advise on the best product for my needs?,"Dear Support Team, I hope this message finds you well. I am writing to seek your expert advice on selecting the most suitable product from your esteemed lineup. I have a rather specific use case in mind, and I would be ever so grateful if you could guide me toward the ideal solution. While I don't have my order number at hand, I can provide more details about my requirements if needed. Thank you most sincerely for your time and assistance.",Tech Support
1,BassHub Pro mic issue?,"Hey! Love my BassHub Pro, but the mic isn't working. Any quick fixes? Thanks!",Tech Support
2,PulseDock not producing sound,"Hello, I'm having an issue with my PulseDock where there's no sound output. The firmware version is 4.7.6. Could you assist with troubleshooting this?",Tech Support
3,WavePanel Touch firmware update issue - Order #WP2023-4567,"I purchased the WavePanel Touch on March 15, 2023 (Order #WP2023-4567). After installing the latest firmware update (v2.1.5) on May 5, 2023, the device stopped responding. The touchscreen is completely dead and the unit won't power cycle properly. This is unacceptable for a premium product. I need an immediate solution - either a working firmware rollback or a replacement unit. Respond within 24 hours.",Tech Support
4,Firmware Update Issue with StreamLink Hub (Order #SLH-2023-45678),"Dear Support Team, I hope this message finds you well. I am writing to seek your assistance regarding a rather unfortunate situation with my StreamLink Hub, which I purchased on October 15, 2023 (Order #SLH-2023-45678). After performing the recommended firmware update (version 2.1.3) on November 5, 2023, the device has become completely unresponsive. The LED indicators no longer light up, and it fails to connect to any of my streaming services. I have attempted multiple power cycles and even a factory reset, but to no avail. I would be ever so grateful if you could guide me through resolving this issue or advise on the next steps. Thank you kindly for your time and support.",Tech Support
5,BassHub Pro overheating issue,"Hello, I've been experiencing overheating with my BassHub Pro running firmware version 3.0.8. Can you advise on how to resolve this?",Tech Support
6,Product features,What can this thing do?,Tech Support
7,Fix this NOW,EchoWave One Plus keeps restarting. Unacceptable.,Tech Support
8,PulseDock voice assistant not responding (Firmware 5.4.6),"Hello, I recently purchased a PulseDock (Order #PD-2024-5678, delivered on March 15, 2024) and have been having issues with the voice assistant feature. It doesn't respond to any commands, even after multiple attempts. I've checked that the firmware is up to date (version 5.4.6) and restarted the device several times. Could you please advise on how to resolve this? Thank you for your help.",Tech Support
9,Which headphones for running?,Need wireless headphones that stay put during runs. Sweatproof too. What do you recommend?,Tech Support
10,EchoWave One buttons not working?,I recently bought an EchoWave One and the buttons aren't responding. Tried resetting it but no luck. What's going on?,Tech Support
11,WavePanel Touch voice assistant issue,"Hi there, I recently got the WavePanel Touch and I'm loving it so far! However, I'm having an issue where the voice assistant doesn't respond. Could you help me troubleshoot this? Thanks!",Tech Support
